"Date","ADM0NAME","GlobalIndex","Masks","School","Workplace","Gatherings","StayHome","Travels"
2020-01-15,"Albania",0,0,0,0,0,0,0
2020-01-16,"Albania",0,0,0,0,0,0,0
2020-01-17,"Albania",0,0,0,0,0,0,0
2020-01-18,"Albania",0,0,0,0,0,0,0
2020-01-19,"Albania",0,0,0,0,0,0,0
2020-01-20,"Albania",0,0,0,0,0,0,0
2020-01-21,"Albania",0,0,0,0,0,0,0
2020-01-22,"Albania",0,0,0,0,0,0,0
2020-01-23,"Albania",0,0,0,0,0,0,0
2020-01-24,"Albania",0,0,0,0,0,0,0
2020-01-25,"Albania",0,0,0,0,0,0,0
2020-01-26,"Albania",0,0,0,0,0,0,0
2020-01-27,"Albania",0,0,0,0,0,0,0
2020-01-28,"Albania",0,0,0,0,0,0,0
2020-01-29,"Albania",0,0,0,0,0,0,0
2020-01-30,"Albania",0,0,0,0,0,0,0
2020-01-31,"Albania",0,0,0,0,0,0,0
2020-02-01,"Albania",0,0,0,0,0,0,0
2020-02-02,"Albania",0,0,0,0,0,0,0
2020-02-03,"Albania",0,0,0,0,0,0,0
2020-02-04,"Albania",0,0,0,0,0,0,0
2020-02-05,"Albania",0,0,0,0,0,0,0
2020-02-06,"Albania",0,0,0,0,0,0,0
2020-02-07,"Albania",0,0,0,0,0,0,0
2020-02-08,"Albania",0,0,0,0,0,0,0
2020-02-09,"Albania",0,0,0,0,0,0,0
2020-02-10,"Albania",0,0,0,0,0,0,0
2020-02-11,"Albania",0,0,0,0,0,0,0
2020-02-12,"Albania",0,0,0,0,0,0,0
2020-02-13,"Albania",0,0,0,0,0,0,0
2020-02-14,"Albania",0,0,0,0,0,0,0
2020-02-15,"Albania",0,0,0,0,0,0,0
2020-02-16,"Albania",0,0,0,0,0,0,0
2020-02-17,"Albania",0,0,0,0,0,0,0
2020-02-18,"Albania",0,0,0,0,0,0,0
2020-02-19,"Albania",0,0,0,0,0,0,0
2020-02-20,"Albania",0,0,0,0,0,0,0
2020-02-21,"Albania",0,0,0,0,0,0,0
2020-02-22,"Albania",0,0,0,0,0,0,0
2020-02-23,"Albania",0,0,0,0,0,0,0
2020-02-24,"Albania",0,0,0,0,0,0,0
2020-02-25,"Albania",2.777778,0,0,0,0,0,16.666667
2020-02-26,"Albania",2.777778,0,0,0,0,0,16.666667
2020-02-27,"Albania",2.777778,0,0,0,0,0,16.666667
2020-02-28,"Albania",2.777778,0,0,0,0,0,16.666667
2020-02-29,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-01,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-02,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-03,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-04,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-05,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-06,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-07,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-08,"Albania",2.777778,0,0,0,0,0,16.666667
2020-03-09,"Albania",36.11111,0,100,0,100,0,16.66667
2020-03-10,"Albania",53.33333,0,100,66.66667,100,20,33.33333
2020-03-11,"Albania",53.33333,0,100,66.66667,100,20,33.33333
2020-03-12,"Albania",53.33333,0,100,66.66667,100,20,33.33333
2020-03-13,"Albania",53.33333,0,100,66.66667,100,20,33.33333
2020-03-14,"Albania",53.33333,0,100,66.66667,100,20,33.33333
2020-03-15,"Albania",53.33333,0,100,66.66667,100,20,33.33333
2020-03-16,"Albania",60,0,100,66.66667,100,60,33.33333
2020-03-17,"Albania",60,0,100,66.66667,100,60,33.33333
2020-03-18,"Albania",60,0,100,66.66667,100,60,33.33333
2020-03-19,"Albania",60,0,100,66.66667,100,60,33.33333
2020-03-20,"Albania",60,0,100,66.66667,100,60,33.33333
2020-03-21,"Albania",72.22222,0,100,100,100,100,33.33333
2020-03-22,"Albania",72.22222,0,100,100,100,100,33.33333
