"WHO_Code","ADM0NAME","LastCaseDate","LastDeathDate","CasesTotal","CasesN1","CasesN2","CasesN3","CasesN4","CasesN5","DeathsTotal","DeathsN1","DeathsN2","DeathsN3","DeathsN4","DeathsN5","STATUS","REVIEW"
"ALB","ALBANIA","2021-01-18","2021-01-18",67690.00,474.00,581.00,4095.00,8252.00,14687.00,1277.00,7.00,5.00,36.00,84.00,189.00,"CLUSTERS","GOOD"
"AND","ANDORRA","2021-01-17","2021-01-17",9038.00,0.00,92.00,452.00,846.00,1461.00,91.00,0.00,3.00,6.00,7.00,10.00,"COMMUNITY","REVISION"
"ARM","ARMENIA","2021-01-18","2021-01-18",164676.00,90.00,351.00,1788.00,4456.00,11298.00,2998.00,6.00,5.00,67.00,134.00,347.00,"COMMUNITY","REVISION"
"AUT","AUSTRIA","2021-01-18","2021-01-18",391113.00,1361.00,1757.00,11406.00,26539.00,54891.00,7014.00,50.00,33.00,383.00,761.00,1798.00,"COMMUNITY","GOOD"
"AZE","AZERBAIJAN","2021-01-18","2021-01-18",227273.00,322.00,402.00,2622.00,7008.00,25185.00,3009.00,11.00,15.00,100.00,276.00,799.00,"CLUSTERS","GOOD"
"BEL","BELGIUM","2021-01-18","2021-01-18",678839.00,1.00,649.00,12457.00,27152.00,51114.00,20435.00,4.00,27.00,277.00,659.00,1644.00,"COMMUNITY","GOOD"
"BIH","BOSNIA AND HERZEGOVINA","2021-01-18","2021-01-18",117973.00,180.00,462.00,2338.00,5328.00,11967.00,4472.00,23.00,20.00,142.00,341.00,819.00,"COMMUNITY","GOOD"
"BLR","BELARUS","2021-01-17","2021-01-17",223537.00,,1933.00,11336.00,23575.00,50014.00,1573.00,,9.00,56.00,122.00,249.00,"COMMUNITY","REVISION"
"BUL","BULGARIA","2021-01-18","2021-01-18",211813.00,77.00,233.00,3302.00,8762.00,20618.00,8483.00,9.00,17.00,357.00,805.00,1874.00,"CLUSTERS","GOOD"
"CRO","CROATIA","2021-01-18","2021-01-18",225128.00,174.00,379.00,4905.00,11809.00,29400.00,4655.00,39.00,28.00,252.00,529.00,1398.00,"COMMUNITY","GOOD"
"CYP","CYPRUS","2021-01-18","2021-01-18",28968.00,157.00,202.00,1618.00,4994.00,11250.00,170.00,3.00,1.00,22.00,39.00,79.00,"CLUSTERS","GOOD"
