WHO_Code,ADM0NAME,DateReport1,epiWeek,NewCases,NewDeaths,TotalCases,TotalDeaths
BAN,Bangladesh,01/01/2020,2020-01,0,0,0,0
BAN,Bangladesh,02/01/2020,2020-01,0,0,0,0
BAN,Bangladesh,03/01/2020,2020-01,0,0,0,0
BAN,Bangladesh,04/01/2020,2020-01,0,0,0,0
BAN,Bangladesh,05/01/2020,2020-01,0,0,0,0
BAN,Bangladesh,06/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,07/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,08/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,09/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,10/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,11/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,12/01/2020,2020-02,0,0,0,0
BAN,Bangladesh,13/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,14/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,15/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,16/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,17/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,18/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,19/01/2020,2020-03,0,0,0,0
BAN,Bangladesh,20/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,21/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,22/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,23/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,24/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,25/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,26/01/2020,2020-04,0,0,0,0
BAN,Bangladesh,27/01/2020,2020-05,0,0,0,0
BAN,Bangladesh,28/01/2020,2020-05,0,0,0,0
BAN,Bangladesh,29/01/2020,2020-05,0,0,0,0
BAN,Bangladesh,30/01/2020,2020-05,0,0,0,0
BAN,Bangladesh,31/01/2020,2020-05,0,0,0,0
BAN,Bangladesh,01/02/2020,2020-05,0,0,0,0
BAN,Bangladesh,02/02/2020,2020-05,0,0,0,0
BAN,Bangladesh,03/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,04/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,05/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,06/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,07/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,08/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,09/02/2020,2020-06,0,0,0,0
BAN,Bangladesh,10/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,11/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,12/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,13/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,14/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,15/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,16/02/2020,2020-07,0,0,0,0
BAN,Bangladesh,17/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,18/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,19/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,20/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,21/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,22/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,23/02/2020,2020-08,0,0,0,0
BAN,Bangladesh,24/02/2020,2020-09,0,0,0,0
BAN,Bangladesh,25/02/2020,2020-09,0,0,0,0
BAN,Bangladesh,26/02/2020,2020-09,0,0,0,0
BAN,Bangladesh,27/02/2020,2020-09,0,0,0,0
BAN,Bangladesh,28/02/2020,2020-09,0,0,0,0
BAN,Bangladesh,29/02/2020,2020-09,0,0,0,0
BAN,Bangladesh,01/03/2020,2020-09,0,0,0,0
BAN,Bangladesh,02/03/2020,2020-10,0,0,0,0
BAN,Bangladesh,03/03/2020,2020-10,0,0,0,0
BAN,Bangladesh,04/03/2020,2020-10,0,0,0,0
BAN,Bangladesh,05/03/2020,2020-10,0,0,0,0
BAN,Bangladesh,06/03/2020,2020-10,0,0,0,0
BAN,Bangladesh,07/03/2020,2020-10,0,0,0,0
BAN,Bangladesh,08/03/2020,2020-10,3,0,3,0
BAN,Bangladesh,09/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,10/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,11/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,12/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,13/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,14/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,15/03/2020,2020-11,0,0,3,0
BAN,Bangladesh,16/03/2020,2020-12,5,0,8,0
BAN,Bangladesh,17/03/2020,2020-12,0,0,8,0
BAN,Bangladesh,18/03/2020,2020-12,2,0,10,0
BAN,Bangladesh,19/03/2020,2020-12,7,1,17,1
BAN,Bangladesh,20/03/2020,2020-12,0,0,17,1
BAN,Bangladesh,21/03/2020,2020-12,7,0,24,1
BAN,Bangladesh,22/03/2020,2020-12,0,0,24,1
BAN,Bangladesh,23/03/2020,2020-13,9,2,33,3
BAN,Bangladesh,24/03/2020,2020-13,6,1,39,4
BAN,Bangladesh,25/03/2020,2020-13,0,1,39,5
BAN,Bangladesh,26/03/2020,2020-13,5,0,44,5
BAN,Bangladesh,27/03/2020,2020-13,4,0,48,5
BAN,Bangladesh,28/03/2020,2020-13,0,0,48,5
BAN,Bangladesh,29/03/2020,2020-13,0,0,48,5
BAN,Bangladesh,30/03/2020,2020-14,1,0,49,5
BAN,Bangladesh,31/03/2020,2020-14,2,0,51,5
BAN,Bangladesh,01/04/2020,2020-14,3,1,54,6
BAN,Bangladesh,02/04/2020,2020-14,2,0,56,6
BAN,Bangladesh,03/04/2020,2020-14,5,0,61,6
BAN,Bangladesh,04/04/2020,2020-14,9,2,70,8
BAN,Bangladesh,05/04/2020,2020-14,18,0,88,8
BAN,Bangladesh,06/04/2020,2020-15,35,4,123,12
BAN,Bangladesh,07/04/2020,2020-15,41,5,164,17
BAN,Bangladesh,08/04/2020,2020-15,54,3,218,20
BAN,Bangladesh,09/04/2020,2020-15,112,1,330,21
BAN,Bangladesh,10/04/2020,2020-15,94,6,424,27
BAN,Bangladesh,11/04/2020,2020-15,58,3,482,30
BAN,Bangladesh,12/04/2020,2020-15,139,4,621,34
BAN,Bangladesh,13/04/2020,2020-16,182,5,803,39
BAN,Bangladesh,14/04/2020,2020-16,209,7,1012,46
BAN,Bangladesh,15/04/2020,2020-16,219,4,1231,50
BAN,Bangladesh,16/04/2020,2020-16,341,10,1572,60
BAN,Bangladesh,17/04/2020,2020-16,266,15,1838,75
BAN,Bangladesh,18/04/2020,2020-16,306,9,2144,84
BAN,Bangladesh,19/04/2020,2020-16,312,7,2456,91
BAN,Bangladesh,20/04/2020,2020-17,492,10,2948,101
BAN,Bangladesh,21/04/2020,2020-17,434,9,3382,110
BAN,Bangladesh,22/04/2020,2020-17,390,10,3772,120
BAN,Bangladesh,23/04/2020,2020-17,414,7,4186,127
BAN,Bangladesh,24/04/2020,2020-17,503,4,4689,131
BAN,Bangladesh,25/04/2020,2020-17,309,9,4998,140
BAN,Bangladesh,26/04/2020,2020-17,418,5,5416,145
BAN,Bangladesh,27/04/2020,2020-18,497,7,5913,152
BAN,Bangladesh,28/04/2020,2020-18,549,3,6462,155
BAN,Bangladesh,29/04/2020,2020-18,641,8,7103,163
BAN,Bangladesh,30/04/2020,2020-18,564,5,7667,168
BAN,Bangladesh,01/05/2020,2020-18,571,2,8238,170
BAN,Bangladesh,02/05/2020,2020-18,552,5,8790,175
BAN,Bangladesh,03/05/2020,2020-18,665,2,9455,177
BAN,Bangladesh,04/05/2020,2020-19,688,5,10143,182
BAN,Bangladesh,05/05/2020,2020-19,786,1,10929,183
BAN,Bangladesh,06/05/2020,2020-19,790,3,11719,186
BAN,Bangladesh,07/05/2020,2020-19,706,14,12425,200
BAN,Bangladesh,08/05/2020,2020-19,709,6,13134,206
BAN,Bangladesh,09/05/2020,2020-19,636,8,13770,214
BAN,Bangladesh,10/05/2020,2020-19,887,14,14657,228
BAN,Bangladesh,11/05/2020,2020-20,1034,11,15691,239
BAN,Bangladesh,12/05/2020,2020-20,969,11,16660,250
BAN,Bangladesh,13/05/2020,2020-20,1162,19,17822,269
BAN,Bangladesh,14/05/2020,2020-20,1041,14,18863,283
BAN,Bangladesh,15/05/2020,2020-20,1202,15,20065,298
BAN,Bangladesh,16/05/2020,2020-20,930,16,20995,314
BAN,Bangladesh,17/05/2020,2020-20,1273,14,22268,328
BAN,Bangladesh,18/05/2020,2020-21,1602,21,23870,349
BAN,Bangladesh,19/05/2020,2020-21,1251,21,25121,370
BAN,Bangladesh,20/05/2020,2020-21,1617,16,26738,386
BAN,Bangladesh,21/05/2020,2020-21,1773,22,28511,408
BAN,Bangladesh,22/05/2020,2020-21,1694,24,30205,432
BAN,Bangladesh,23/05/2020,2020-21,1873,20,32078,452
BAN,Bangladesh,24/05/2020,2020-21,1532,28,33610,480
BAN,Bangladesh,25/05/2020,2020-22,1975,21,35585,501
BAN,Bangladesh,26/05/2020,2020-22,1166,21,36751,522
BAN,Bangladesh,27/05/2020,2020-22,1541,22,38292,544
BAN,Bangladesh,28/05/2020,2020-22,2029,15,40321,559
BAN,Bangladesh,29/05/2020,2020-22,2523,23,42844,582
BAN,Bangladesh,30/05/2020,2020-22,1764,28,44608,610
BAN,Bangladesh,31/05/2020,2020-22,2545,40,47153,650
BAN,Bangladesh,01/06/2020,2020-23,2381,22,49534,672
BAN,Bangladesh,02/06/2020,2020-23,2911,37,52445,709
